Company|^|Reference ID Company|^|Verification Status|^|Verification Number|^|Verification Date|^|Accounting Date for Operational Transaction|^|Cost Center|^|Supplier|^|Trans Detail|^|Line Description|^|Spend Category|^|Purchase Order|^|Trans Status|^|Line Split|^|Line Amount|^|Supplier Contract
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011483"|^|"2024-11-14-08:00"|^|"2025-02-01-08:00"|^|"1426 Academic Programs - Leavitt School of Health"|^|"WGU Procurement Only"|^|"11/05/2024 PC/NAMETAG 153.00 USD"|^|"Leavitt School of Health is exhibiting at OADN (Organization for Associate Degree Nursing). This request is for all conference marketing related expenses including the exhibitor booth space, exhibitor services such as electricity and furniture rental, shipping, SWAG, and other related costs."|^|"Sponsorships"|^|"PO-100032903"|^|"Approved"|^|"0"|^|"153"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011647"|^|"2024-12-10-08:00"|^|"2025-02-01-08:00"|^|"1115 Facilities Management"|^|""|^|"12/02/2024 YWW*WEWORK 110CORCOR 299.00 USD"|^|""|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"299"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011647"|^|"2024-12-10-08:00"|^|"2025-02-01-08:00"|^|"1760 Craft (WGUC)"|^|""|^|"12/06/2024 IN *NASDTEC 6,000.00 USD"|^|""|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"6000"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011845"|^|"2025-01-14-08:00"|^|"2025-02-01-08:00"|^|"1312 Strategic Partnerships"|^|""|^|"01/07/2025 AUSA 7,000.00 USD"|^|"Military Operations_AUSA Annua National Membership Dues 2025"|^|"Employee Memberships, Subscriptions & Dues"|^|""|^|"Approved"|^|"0"|^|"7000"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011845"|^|"2025-01-14-08:00"|^|"2025-02-01-08:00"|^|"1312 Strategic Partnerships"|^|""|^|"01/07/2025 FEDTRAINING PARTNERS 3,295.00 USD"|^|"Booth"|^|"Seminar & Conference Fees"|^|""|^|"Approved"|^|"0"|^|"3295"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011915"|^|"2025-01-27-08:00"|^|"2025-02-01-08:00"|^|"1312 Strategic Partnerships"|^|"WGU Procurement Only"|^|"01/23/2025 AFP*NATIONAL ASSOCIA 2,000.00 USD"|^|"Registration for "Sponsor ImpactED '25" (March 25-27, 2025) for Hayley Wood.  Paid on Alexandra Gailey's P-Card."|^|"Sponsorships"|^|"PO-100034993"|^|"Approved"|^|"0"|^|"2000"|^|""
"Western Governors University"|^|"WGU"|^|"Approved"|^|"PC-10011915"|^|"2025-01-27-08:00"|^|"2025-02-01-08:00"|^|"1312 Strategic Partnerships"|^|"WGU Procurement Only"|^|"01/22/2025 WITEA SPRING CONFERE 626.46 USD"|^|"WITEA Registration for one exhibitor booth for Jennifer Dalziel.  Paid on Alexandra Gailey's P-Card."|^|"Sponsorships"|^|"PO-100035072"|^|"Approved"|^|"0"|^|"626.46"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011920"|^|"2025-01-27-08:00"|^|"2025-02-01-08:00"|^|"1320 Regional Operations - West"|^|"Regus Management Group LLC"|^|"12/22/2024 REGUS MANAGEMENT GRO 5,266.63 USD"|^|"Regus Office - CA"|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"5266.63"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011920"|^|"2025-01-27-08:00"|^|"2025-02-01-08:00"|^|"1320 Regional Operations - West"|^|"Regus Management Group LLC"|^|"01/23/2025 REGUS MANAGEMENT GRO 5,812.29 USD"|^|"Regus Office - CA"|^|"Office Rent"|^|""|^|"Approved"|^|"0"|^|"5812.29"|^|""
"WGU Corporation"|^|"WGUCORP"|^|"Approved"|^|"PC-10011924"|^|"2025-01-28-08:00"|^|"2025-02-01-08:00"|^|"1114 Finance"|^|""|^|"01/23/2025 WWW.CAFERIO.COM 565.26 USD"|^|"Finance: lunch for Accounting/Finance meeting"|^|"Meeting Food & Beverage"|^|""|^|"Approved"|^|"0"|^|"565.26"|^|""
